smiles,Formula,Mass,HOFs,Td,Ro,D(km/s),P(GPa),Q(J/g),V(L/kg),T(K)
O=[N+]([O-])c1nn([N+](=O)[O-])c2c1cnn2[N+](=O)[O-],C4HN7O6,243.1,461.0 ,227.8 ,1.881 ,8.89 ,36.7,6848,621,4259
Nc1nn([N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,C4H2N8O6,258.1,413.0 ,223.4 ,1.906 ,8.89 ,36.9,6352,650,4134
O=[N+]([O-])c1c2nn[nH]nc-2c([N+](=O)[O-])c1[N+](=O)[O-],C5HN7O6,255.1,551.0 ,271.8 ,1.942 ,8.89 ,37.3,6878,592,4077
O=[N+]([O-])c1cnn2c([N+](=O)[O-])nn([N+](=O)[O-])c12,C4HN7O6,243.1,459.9 ,223.7 ,1.880 ,8.89 ,36.6,6843,621,4256
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2n([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n12,C7N10O11,400.1,409.2 ,202.2 ,1.947 ,8.88 ,37.3,6434,587,3781
O=[N+]([O-])c1nc2c3nc([N+](=O)[O-])n([N+](=O)[O-])c3nc([N+](=O)[O-])n2c1[N+](=O)[O-],C7N10O10,384.1,622.1 ,226.1 ,1.933 ,8.88 ,37.2,6743,583,3932
O=[N+]([O-])c1nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc2n1,C4N8O6,256.1,486.3 ,215.2 ,1.911 ,8.88 ,36.9,6510,612,3986
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c21,C4H2N8O6,258.1,472.0 ,244.0 ,1.880 ,8.88 ,36.6,6581,650,4283
O=c1c2[nH]nc([N+](=O)[O-])c2c(=O)n([N+](=O)[O-])n1[N+](=O)[O-],C5HN7O8,287.1,93.3 ,211.5 ,1.988 ,8.87 ,37.6,5889,604,3561
Nc1c([N+](=O)[O-])nn2nnn([N+](=O)[O-])c12,C3H2N8O4,214.1,505.6 ,219.8 ,1.889 ,8.86 ,36.5,6252,680,4251
O=[N+]([O-])c1cc2n([N+](=O)[O-])nc([N+](=O)[O-])n2n1,C4HN7O6,243.1,422.9 ,235.9 ,1.887 ,8.86 ,36.5,6692,621,4162
O=[N+]([O-])Nn1c([N+](=O)[O-])nc2c1nc([N+](=O)[O-])n1c([N+](=O)[O-])c([N+](=O)[O-])nc21,C7HN11O10,399.2,649.7 ,204.5 ,1.916 ,8.85 ,36.7,6616,603,3991
O=[N+]([O-])c1nc2c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nnn2c1[N+](=O)[O-],C6N10O8,340.1,699.3 ,240.9 ,1.921 ,8.84 ,36.7,6685,592,3962
O=c1[nH]n([N+](=O)[O-])c(=O)c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C5HN7O8,287.1,94.3 ,207.6 ,1.979 ,8.84 ,37.3,5892,604,3563
O=c1c2[nH]nc([N+](=O)[O-])c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5HN7O8,287.1,80.0 ,200.1 ,1.984 ,8.84 ,37.4,5842,604,3533
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c12,C5HN7O7,271.1,314.4 ,252.7 ,1.954 ,8.84 ,37,6326,599,3789
O=c1[nH]n([N+](=O)[O-])c(=O)c2c([N+](=O)[O-])nn([N+](=O)[O-])c12,C5HN7O8,287.1,103.2 ,209.7 ,1.970 ,8.82 ,37.1,5924,604,3582
O=[N+]([O-])Nn1nc([N+](=O)[O-])c2c1nnn1c([N+](=O)[O-])c([N+](=O)[O-])nc21,C6HN11O8,355.1,730.3 ,210.6 ,1.907 ,8.82 ,36.4,6554,614,4030
O=c1c2c([N+](=O)[O-])n[nH]c2n([N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5HN7O8,287.1,61.7 ,207.3 ,1.982 ,8.80 ,37.1,5779,604,3494
Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nn(N[N+](=O)[O-])c12,C4H3N9O6,273.1,393.7 ,209.3 ,1.896 ,8.80 ,36.1,6016,676,4070
O=c1c2n[nH]c([N+](=O)[O-])c2c([N+](=O)[O-])nn1[N+](=O)[O-],C5HN7O7,271.1,289.4 ,250.2 ,1.954 ,8.80 ,36.7,6234,599,3734
Nc1nn2c([N+](=O)[O-])nn(N[N+](=O)[O-])c2c1[N+](=O)[O-],C4H3N9O6,273.1,403.6 ,208.1 ,1.891 ,8.80 ,36.1,6052,676,4095
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])n([N+](=O)[O-])nc12,C5HN7O7,271.1,290.6 ,248.0 ,1.953 ,8.80 ,36.7,6238,599,3737
Nn1nc([N+](=O)[O-])n2nc([N+](=O)[O-])nc12,C3H2N8O4,214.1,514.6 ,251.7 ,1.865 ,8.79 ,35.7,6294,680,4280
O=[N+]([O-])c1nn([N+](=O)[O-])c2ncnn12,C3HN7O4,199.1,508.7 ,215.8 ,1.858 ,8.79 ,35.6,6624,646,4286
Nc1nn([N+](=O)[O-])c2nc([N+](=O)[O-])nn12,C3H2N8O4,214.1,472.2 ,225.5 ,1.884 ,8.79 ,35.9,6096,680,4145
O=[N+]([O-])Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])c3c([N+](=O)[O-])nn([N+](=O)[O-])c3nc21,C7HN11O10,399.2,624.9 ,214.4 ,1.904 ,8.79 ,36.1,6554,603,3954
Nn1nnc2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c-2n1,C5H2N8O6,270.1,573.7 ,268.7 ,1.903 ,8.78 ,36,6665,621,4145
O=[N+]([O-])c1nn2cnn([N+](=O)[O-])c2c1[N+](=O)[O-],C4HN7O6,243.1,410.6 ,208.2 ,1.867 ,8.78 ,35.6,6641,621,4130
Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2N[N+](=O)[O-],C4H3N9O6,273.1,440.0 ,207.7 ,1.867 ,8.77 ,35.5,6185,676,4185
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn(N[N+](=O)[O-])c21,C4H3N9O6,273.1,440.3 ,208.5 ,1.865 ,8.76 ,35.4,6186,676,4186
O=c1c2[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])nn1[N+](=O)[O-],C5HN7O7,271.1,277.4 ,264.7 ,1.946 ,8.76 ,36.3,6190,599,3708
O=[N+]([O-])c1n[nH]c2nnc3[nH]nc([N+](=O)[O-])n1-n23,C4H2N10O4,254.1,700.1 ,318.7 ,1.927 ,8.76 ,36.1,6032,661,3988
O=[N+]([O-])N=Cn1nc([N+](=O)[O-])n2c([N+](=O)[O-])n[nH]c3nnc1n3-2,C5H2N12O6,326.1,747.6 ,225.5 ,1.912 ,8.75 ,35.9,6053,652,3949
Nc1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc(C=N[N+](=O)[O-])n1-n23,C5H3N13O6,341.2,842.9 ,210.1 ,1.884 ,8.75 ,35.5,6133,672,4127
O=c1[nH]c2c([N+](=O)[O-])nn([N+](=O)[O-])c2c(=O)n1[N+](=O)[O-],C5HN7O8,287.1,20.6 ,206.9 ,1.976 ,8.73 ,36.4,5636,604,3407
Nn1c(=O)n([N+](=O)[O-])c(=O)c2c1n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],C5H2N8O9,318.1,-76.3 ,208.7 ,1.947 ,8.71 ,35.9,5472,633,3468
NN=c1[nH]c([N+](=O)[O-])nc2c1n([N+](=O)[O-])c(=O)n2[N+](=O)[O-],C5H3N9O7,301.1,256.9 ,219.2 ,1.943 ,8.71 ,35.8,5656,650,3681
Nn1c(=O)c2c([N+](=O)[O-])nn([N+](=O)[O-])c2c(=O)n1[N+](=O)[O-],C5H2N8O8,302.1,108.6 ,221.1 ,1.934 ,8.70 ,35.7,5722,630,3606
Nn1c(=O)n([N+](=O)[O-])c2c(=O)n([N+](=O)[O-])c(=O)n([N+](=O)[O-])c21,C5H2N8O9,318.1,-78.5 ,209.9 ,1.946 ,8.70 ,35.8,5465,633,3463
O=c1[nH]c2nnc([N+](=O)[O-])n2c([N+](=O)[O-])c1[N+](=O)[O-],C5HN7O7,271.1,223.5 ,250.3 ,1.948 ,8.70 ,35.8,5991,599,3588
O=c1[nH]nc([N+](=O)[O-])c2nc([N+](=O)[O-])c([N+](=O)[O-])n12,C5HN7O7,271.1,228.9 ,246.3 ,1.945 ,8.69 ,35.8,6010,599,3600
Nc1nc2n([N+](=O)[O-])nc([N+](=O)[O-])n2n1,C3H2N8O4,214.1,452.0 ,219.9 ,1.866 ,8.69 ,34.9,6001,680,4081
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn(C=N[N+](=O)[O-])c3nnc1n3-2,C5H3N13O6,341.2,802.4 ,239.6 ,1.879 ,8.69 ,35,6014,672,4047
Nc1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc(N)n1-n23,C4H4N12O4,284.2,756.0 ,296.9 ,1.896 ,8.69 ,35.2,5752,709,4081
O=[N+]([O-])c1nc([N+](=O)[O-])c2[nH]nnc2c1[N+](=O)[O-],C5HN7O6,255.1,442.4 ,259.9 ,1.923 ,8.68 ,35.4,6453,592,3824
Nn1nc([N+](=O)[O-])c2c(=O)n([N+](=O)[O-])n([N+](=O)[O-])c(=O)c21,C5H2N8O8,302.1,107.8 ,230.9 ,1.928 ,8.68 ,35.5,5720,630,3605
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])n[nH]c3nnc1n3-2,C4H3N11O4,269.1,725.9 ,315.7 ,1.899 ,8.68 ,35.2,5876,686,4035
O=[N+]([O-])c1nc([N+](=O)[O-])c2nn[nH]c2c1[N+](=O)[O-],C5HN7O6,255.1,438.6 ,279.3 ,1.923 ,8.68 ,35.4,6438,592,3815
O=c1[nH]c2c(c([N+](=O)[O-])nn2[N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5HN7O8,287.1,4.1 ,207.1 ,1.967 ,8.68 ,35.9,5578,604,3373
Nc1n[nH]c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,C4H3N11O4,269.1,689.8 ,261.8 ,1.913 ,8.68 ,35.3,5742,686,3943
Nn1nc([N+](=O)[O-])n2c(C=N[N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,C5H3N13O6,341.2,845.0 ,223.2 ,1.863 ,8.68 ,34.8,6139,672,4131
O=c1c2c([N+](=O)[O-])n[nH]c2nc([N+](=O)[O-])n1[N+](=O)[O-],C5HN7O7,271.1,170.2 ,201.7 ,1.965 ,8.68 ,35.8,5794,599,3471
Nc1nn([N+](=O)[O-])c2nnc3[nH]nc([N+](=O)[O-])n1-n32,C4H3N11O4,269.1,697.9 ,294.1 ,1.910 ,8.68 ,35.3,5772,686,3963
O=c1c2c(cnn1[N+](=O)[O-])c([N+](=O)[O-])nn2[N+](=O)[O-],C5HN7O7,271.1,314.3 ,231.4 ,1.906 ,8.68 ,35.2,6326,599,3789
O=c1c([N+](=O)[O-])c([N+](=O)[O-])c2n[nH]nc2n1[N+](=O)[O-],C5HN7O7,271.1,246.2 ,209.9 ,1.933 ,8.68 ,35.5,6075,599,3639
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c(=O)c21,C5H2N8O7,286.1,331.5 ,257.8 ,1.900 ,8.67 ,35.1,6133,626,3841
O=c1[nH]nc([N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])nn12,C5HN7O7,271.1,227.3 ,231.3 ,1.939 ,8.67 ,35.5,6005,599,3597
O=c1c2nn([N+](=O)[O-])c([N+](=O)[O-])c2cnn1[N+](=O)[O-],C5HN7O7,271.1,288.6 ,226.7 ,1.914 ,8.67 ,35.2,6231,599,3732
O=[N+]([O-])N=Cc1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc2c1c([N+](=O)[O-])nn2[N+](=O)[O-],C8HN11O10,411.2,693.1 ,214.0 ,1.909 ,8.67 ,35.2,6528,585,3823
O=[N+]([O-])c1nc2nonc2nc1[N+](=O)[O-],C4N6O5,212.1,442.6 ,201.4 ,1.887 ,8.67 ,34.9,6727,580,3908
Nc1nn([N+](=O)[O-])c2nnc3n(C=N[N+](=O)[O-])nc([N+](=O)[O-])n1-n32,C5H3N13O6,341.2,788.6 ,210.5 ,1.876 ,8.66 ,34.8,5973,672,4020
Nc1nn([N+](=O)[O-])c2nnc3n(N)nc([N+](=O)[O-])n1-n32,C4H4N12O4,284.2,792.5 ,299.5 ,1.873 ,8.66 ,34.7,5880,709,4172
O=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])c2nnc([N+](=O)[O-])n12,C5HN7O7,271.1,203.0 ,248.3 ,1.945 ,8.66 ,35.5,5915,599,3543
O=c1c([N+](=O)[O-])c([N+](=O)[O-])nc2[nH]nc([N+](=O)[O-])n12,C5HN7O7,271.1,169.6 ,237.3 ,1.959 ,8.66 ,35.6,5792,599,3469
Nn1c(=O)c2c(c([N+](=O)[O-])nn2[N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H2N8O8,302.1,90.2 ,229.0 ,1.927 ,8.66 ,35.3,5661,630,3568
O=[N+]([O-])Nc1n[nH]c2nnc3[nH]nc([N+](=O)[O-])n1-n23,C4H3N11O4,269.1,693.2 ,232.6 ,1.905 ,8.66 ,35,5755,686,3951
Nc1c([N+](=O)[O-])n2c([N+](=O)[O-])nnc2n([N+](=O)[O-])c1=O,C5H2N8O7,286.1,261.0 ,216.1 ,1.922 ,8.66 ,35.2,5887,626,3687
O=c1c2c(cnn2[N+](=O)[O-])c([N+](=O)[O-])nn1[N+](=O)[O-],C5HN7O7,271.1,318.1 ,227.9 ,1.897 ,8.65 ,34.9,6340,599,3797
NN1c2nonc2N(N[N+](=O)[O-])c2nonc21,C4H3N9O4,241.1,765.6 ,226.9 ,1.825 ,8.65 ,34.1,6724,673,4528
NN=c1c2[nH]c(=O)n([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],C5H3N9O7,301.1,219.9 ,213.0 ,1.940 ,8.65 ,35.3,5533,650,3601
