smiles,Formula,Mass,HOFs,Td,Ro,D(km/s),P(GPa),Q(J/g),V(L/kg),T(K)
Nc1nc2c(nc(N)n3c([N+](=O)[O-])c(C=N[N+](=O)[O-])nc23)n1[N+](=O)[O-],C8H5N11O6,351.2,401.8 ,259.7 ,1.830 ,7.64 ,26.7,4831,621,3004
Nn1c(=O)n(N)c2c1c(=O)n(N[N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],C6H6N10O7,330.2,-161.8 ,217.9 ,1.826 ,7.64 ,26.6,4097,678,2780
O=[N+]([O-])N=Cc1nc2c(C=N[N+](=O)[O-])n3nc([N+](=O)[O-])nc3nc2o1,C8H2N10O7,350.2,344.3 ,214.4 ,1.817 ,7.64 ,26.6,5048,575,2906
O=[N+]([O-])Nc1cc2c(nc([N+](=O)[O-])n3nnnc23)[nH]1,C6H3N9O4,265.1,480.6 ,215.8 ,1.813 ,7.64 ,26.5,5040,612,3087
N=c1c2c(nc(N[N+](=O)[O-])n2N)[nH]c(=O)n1[N+](=O)[O-],C5H5N9O5,271.2,60.7 ,216.2 ,1.812 ,7.64 ,26.5,4274,681,2912
N=c1c2c(nc(N[N+](=O)[O-])n2N)[nH]c(=O)n1[N+](=O)[O-],C5H5N9O5,271.2,60.7 ,216.2 ,1.812 ,7.64 ,26.5,4274,681,2912
N=c1c2c(nc(N)n1N[N+](=O)[O-])[nH]c(=O)n2[N+](=O)[O-],C5H5N9O5,271.2,62.4 ,213.0 ,1.811 ,7.64 ,26.5,4280,681,2917
O=[N+]([O-])N=Cc1nc2c(nc([N+](=O)[O-])n3cc(N[N+](=O)[O-])nc23)[nH]1,C8H4N10O6,336.2,489.7 ,207.1 ,1.801 ,7.64 ,26.4,5241,599,3143
Nc1c(C=N[N+](=O)[O-])n([N+](=O)[O-])c(=O)n2cnnc12,C6H4N8O5,268.1,248.4 ,200.0 ,1.801 ,7.64 ,26.4,4937,626,3093
Nc1nc2ncnn2c([N+](=O)[O-])c1[N+](=O)[O-],C5H3N7O4,225.1,270.5 ,285.4 ,1.796 ,7.64 ,26.4,5003,621,3111
Nc1c([N+](=O)[O-])n2c(=O)c3c(C=N[N+](=O)[O-])nn(N[N+](=O)[O-])c3nc2n1N,C8H6N12O7,382.2,303.2 ,210.4 ,1.796 ,7.64 ,26.4,4756,644,3066
O=c1[nH]c2c(=O)n(C=N[N+](=O)[O-])c(=O)n([N+](=O)[O-])c2[nH]1,C6H3N7O7,285.1,-262.0 ,205.0 ,1.881 ,7.64 ,27.1,4153,608,2528
O=c1n([N+](=O)[O-])c(=O)n2c3c(C=N[N+](=O)[O-])n[nH]c3ncn12,C7H3N9O6,309.2,178.0 ,217.6 ,1.861 ,7.64 ,26.9,4617,597,2760
N=c1c2nc([N+](=O)[O-])[nH]c2[nH]c(=O)n1N[N+](=O)[O-],C5H4N8O5,256.1,-9.2 ,213.6 ,1.852 ,7.64 ,26.9,4162,655,2730
Nc1nnc2c([N+](=O)[O-])c(C=N[N+](=O)[O-])[nH]c(=O)n12,C6H4N8O5,268.1,156.4 ,225.0 ,1.847 ,7.64 ,26.8,4593,626,2878
NN=c1[nH]c(C=N[N+](=O)[O-])nc2c1[nH]c(=O)n2[N+](=O)[O-],C6H5N9O5,283.2,170.1 ,239.5 ,1.837 ,7.64 ,26.7,4479,652,2923
O=c1c2nc3c([N+](=O)[O-])c(C=N[N+](=O)[O-])n4nncc4c3nc2n([N+](=O)[O-])c(=O)n1C=N[N+](=O)[O-],C12H3N13O10,489.2,482.7 ,209.2 ,1.836 ,7.64 ,26.7,5150,560,2888
Nn1c(=O)[nH]c2c(=O)n(C=N[N+](=O)[O-])c(=O)n(N[N+](=O)[O-])c21,C6H5N9O7,315.2,-177.6 ,201.5 ,1.833 ,7.64 ,26.7,4170,657,2741
Nc1c(C=N[N+](=O)[O-])c(=O)n([N+](=O)[O-])c2n[nH]nc12,C6H4N8O5,268.1,192.7 ,205.3 ,1.829 ,7.64 ,26.7,4729,626,2962
Nc1nc2[nH]c(N[N+](=O)[O-])nc2c(=O)n1[N+](=O)[O-],C5H4N8O5,256.1,35.0 ,206.2 ,1.825 ,7.64 ,26.6,4335,655,2843
O=c1[nH]nc([N+](=O)[O-])c2cn(C=N[N+](=O)[O-])nc12,C6H3N7O5,253.1,214.5 ,224.0 ,1.823 ,7.64 ,26.6,5005,597,2989
NN=c1[nH]c(C=N[N+](=O)[O-])nc2c1n(N[N+](=O)[O-])c(=O)n2N,C6H7N11O5,313.2,238.1 ,219.1 ,1.804 ,7.64 ,26.5,4412,697,3077
Nc1nc2c3c(N)nn([N+](=O)[O-])c3nnn2c1[N+](=O)[O-],C6H4N10O4,280.2,492.8 ,310.6 ,1.803 ,7.64 ,26.4,4895,639,3131
O=[N+]([O-])Nc1nc2[nH]cnc([N+](=O)[O-])c-2n1,C5H3N7O4,225.1,262.8 ,204.8 ,1.800 ,7.64 ,26.4,4968,621,3089
Nc1nc2c(nc(C=N[N+](=O)[O-])n2N)c2nc(N[N+](=O)[O-])c([N+](=O)[O-])n12,C8H6N12O6,366.2,485.7 ,212.7 ,1.796 ,7.64 ,26.4,4924,642,3162
O=c1n([N+](=O)[O-])c(=O)n2c3cn[nH]c3nc(C=N[N+](=O)[O-])n12,C7H3N9O6,309.2,169.1 ,212.7 ,1.865 ,7.64 ,27,4588,597,2742
O=c1c2c([N+](=O)[O-])nn(C=N[N+](=O)[O-])c2nc2[nH]c([N+](=O)[O-])cn12,C8H3N9O7,337.2,212.9 ,238.4 ,1.839 ,7.64 ,26.7,4921,581,2860
Nc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])[nH]c2n1,C5H3N7O4,225.1,207.6 ,278.7 ,1.833 ,7.64 ,26.7,4723,621,2937
Nc1c(N[N+](=O)[O-])nc2c3nc([N+](=O)[O-])[nH]c3nc(C=N[N+](=O)[O-])n12,C8H5N11O6,351.2,429.7 ,221.7 ,1.818 ,7.64 ,26.6,4911,621,3054
Nc1c([N+](=O)[O-])nn2c(=O)n(N)nc(C=N[N+](=O)[O-])c12,C6H5N9O5,283.2,208.2 ,243.8 ,1.818 ,7.64 ,26.6,4613,652,3011
O=c1c2n[nH]c([N+](=O)[O-])c2cnn1C=N[N+](=O)[O-],C6H3N7O5,253.1,226.4 ,227.7 ,1.816 ,7.64 ,26.6,5052,597,3018
NN=c1c2nc(N)nc([N+](=O)[O-])c2nc(C=N[N+](=O)[O-])n1C=N[N+](=O)[O-],C8H6N12O6,366.2,428.3 ,224.2 ,1.816 ,7.64 ,26.5,4768,642,3062
Nc1nc2c(nc(N)n2N[N+](=O)[O-])c(=O)n1[N+](=O)[O-],C5H5N9O5,271.2,75.6 ,204.7 ,1.803 ,7.64 ,26.4,4329,681,2950
N=c1[nH]c(N[N+](=O)[O-])nc2c1n([N+](=O)[O-])c(=O)n2N,C5H5N9O5,271.2,77.0 ,212.1 ,1.802 ,7.64 ,26.4,4334,681,2953
Nn1c([N+](=O)[O-])cn2c(=O)c3c(C=N[N+](=O)[O-])nn(N[N+](=O)[O-])c3nc12,C8H5N11O7,367.2,292.8 ,202.9 ,1.801 ,7.64 ,26.4,4860,625,3039
Nn1c(=O)c2[nH]nc([N+](=O)[O-])c2c(=O)n1C=N[N+](=O)[O-],C6H4N8O6,284.1,-41.4 ,244.3 ,1.855 ,7.64 ,26.9,4331,630,2731
Nn1c(=O)n(C=N[N+](=O)[O-])c2c(=O)[nH]c(=O)n([N+](=O)[O-])c21,C6H4N8O7,300.1,-208.8 ,222.4 ,1.849 ,7.64 ,26.8,4199,634,2663
Nc1nn(N)c2c1c(=O)n([N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],C6H5N9O6,299.2,-19.2 ,218.6 ,1.841 ,7.64 ,26.8,4265,655,2794
Nc1nc2[nH]c([N+](=O)[O-])nc2c2nc(C=N[N+](=O)[O-])c([N+](=O)[O-])n12,C8H4N10O6,336.2,391.2 ,255.4 ,1.837 ,7.64 ,26.7,4948,599,2967
Nc1n[nH]c(=O)c2nn([N+](=O)[O-])c(C=N[N+](=O)[O-])c12,C6H4N8O5,268.1,186.3 ,204.6 ,1.831 ,7.64 ,26.7,4705,626,2947
Nn1nc(C=N[N+](=O)[O-])c2c(=O)[nH]n(N[N+](=O)[O-])c(=O)c21,C6H5N9O6,299.2,14.2 ,203.7 ,1.824 ,7.64 ,26.6,4376,655,2867
Nc1nn([N+](=O)[O-])c2nc3[nH]nc(C=N[N+](=O)[O-])c3c([N+](=O)[O-])c12,C8H4N10O6,336.2,431.9 ,229.4 ,1.822 ,7.64 ,26.6,5069,599,3039
NN=c1c2c(nc(C=N[N+](=O)[O-])n1N)[nH]c(=O)n2[N+](=O)[O-],C6H6N10O5,298.2,202.3 ,243.9 ,1.820 ,7.64 ,26.6,4438,676,3000
O=c1[nH]nc([N+](=O)[O-])c2c(C=N[N+](=O)[O-])cnn12,C6H3N7O5,253.1,234.4 ,217.8 ,1.812 ,7.64 ,26.5,5084,597,3037
N=c1c2nc(C=N[N+](=O)[O-])nc([N+](=O)[O-])c2nc(N)n1[N+](=O)[O-],C7H4N10O6,324.2,284.9 ,205.0 ,1.809 ,7.64 ,26.5,4803,621,2987
Nc1ncnc2c1nc([N+](=O)[O-])n2[N+](=O)[O-],C5H3N7O4,225.1,268.7 ,240.1 ,1.796 ,7.64 ,26.4,4994,621,3106
Nc1nnn2c([N+](=O)[O-])c([N+](=O)[O-])c3nc4c(=O)[nH]c(=O)n([N+](=O)[O-])c4nc3c12,C10H3N11O8,405.2,242.8 ,281.8 ,1.903 ,7.64 ,27.3,4654,566,2637
Nc1nc2[nH]nc([N+](=O)[O-])c2n2c(=O)n(C=N[N+](=O)[O-])c(=O)n12,C7H4N10O6,324.2,83.1 ,257.5 ,1.900 ,7.64 ,27.2,4181,621,2600
Nc1[nH]c2nc([N+](=O)[O-])nn2c(=O)c1C=N[N+](=O)[O-],C6H4N8O5,268.1,132.4 ,233.6 ,1.859 ,7.64 ,26.9,4504,626,2822
O=c1[nH]c2nc3c(nc2c(=O)n1N[N+](=O)[O-])c([N+](=O)[O-])cn1nnc(N[N+](=O)[O-])c31,C10H4N12O8,420.2,370.8 ,217.8 ,1.853 ,7.64 ,26.9,4847,586,2842
O=c1[nH]c(=O)n([N+](=O)[O-])c2nc3c(nc12)c(C=N[N+](=O)[O-])c(C=N[N+](=O)[O-])n1nnc([N+](=O)[O-])c31,C12H3N13O10,489.2,425.0 ,199.6 ,1.850 ,7.64 ,26.8,5032,560,2822
Nc1nc([N+](=O)[O-])c2nc(N[N+](=O)[O-])[nH]c(=O)n12,C5H4N8O5,256.1,-4.0 ,214.5 ,1.848 ,7.64 ,26.8,4183,655,2743
Nn1c(=O)n(C=N[N+](=O)[O-])c2c1c(=O)n([N+](=O)[O-])c(=O)n2N,C6H5N9O7,315.2,-206.1 ,242.0 ,1.846 ,7.64 ,26.8,4080,657,2682
Nc1nnn2c([N+](=O)[O-])c(N[N+](=O)[O-])c3nc4c(=O)n(N)c(=O)n([N+](=O)[O-])c4nc3c12,C10H5N13O8,435.2,383.4 ,268.1 ,1.845 ,7.64 ,26.8,4761,604,2879
Nc1c([N+](=O)[O-])[nH]c2nc3c(c(C=N[N+](=O)[O-])nn3[N+](=O)[O-])c(=O)n12,C8H4N10O7,352.2,192.1 ,227.5 ,1.841 ,7.64 ,26.8,4716,604,2850
O=c1c2nc3c([N+](=O)[O-])cn4nnc(C=N[N+](=O)[O-])c4c3nc2n([N+](=O)[O-])c(=O)n1C=N[N+](=O)[O-],C12H3N13O10,489.2,469.7 ,216.1 ,1.838 ,7.64 ,26.7,5123,560,2873
O=[N+]([O-])N=Cc1nc2c(ncn3c([N+](=O)[O-])c([N+](=O)[O-])nc23)[nH]1,C8H3N9O6,321.2,441.4 ,253.6 ,1.824 ,7.64 ,26.6,5264,575,3029
NN=c1c2[nH]c(=O)n([N+](=O)[O-])c2ncn1C=N[N+](=O)[O-],C6H5N9O5,283.2,199.3 ,242.4 ,1.821 ,7.64 ,26.6,4582,652,2990
NN=c1[nH]c(C=N[N+](=O)[O-])nc2c1n([N+](=O)[O-])c(=O)n2N,C6H6N10O5,298.2,199.8 ,243.2 ,1.821 ,7.64 ,26.6,4429,676,2994
Nn1c(=O)n([N+](=O)[O-])c(=O)c2cnn(C=N[N+](=O)[O-])c21,C6H4N8O6,284.1,28.9 ,216.9 ,1.818 ,7.64 ,26.6,4579,630,2887
Nc1cn([N+](=O)[O-])c2nc([N+](=O)[O-])n3nnnc3c12,C6H3N9O4,265.1,504.3 ,260.6 ,1.801 ,7.64 ,26.4,5129,612,3141
Nc1nc([N+](=O)[O-])nc2n[nH]c(N[N+](=O)[O-])c12,C5H4N8O4,240.1,257.9 ,220.8 ,1.799 ,7.64 ,26.4,4732,652,3090
Nc1nc2ncn([N+](=O)[O-])c(=O)c2n1[N+](=O)[O-],C5H3N7O5,241.1,83.2 ,227.3 ,1.798 ,7.64 ,26.4,4710,627,2953
O=c1[nH]c(=O)n(N[N+](=O)[O-])c2nc3c(nc12)c([N+](=O)[O-])c([N+](=O)[O-])n1nncc31,C10H3N11O8,405.2,319.9 ,231.3 ,1.876 ,7.64 ,27,4844,566,2745
O=c1[nH][nH]c(=O)c2c1c([N+](=O)[O-])nn2C=N[N+](=O)[O-],C6H3N7O6,269.1,-49.5 ,218.5 ,1.863 ,7.64 ,26.9,4458,603,2690
Nn1c(=O)[nH]c2c1c(=O)n(N[N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],C6H5N9O7,315.2,-218.9 ,200.5 ,1.852 ,7.64 ,26.8,4039,657,2655
Nc1c(N[N+](=O)[O-])n2nnc([N+](=O)[O-])c2c2nc3c(nc12)c(=O)n([N+](=O)[O-])c(=O)n3N,C10H5N13O8,435.2,366.1 ,263.1 ,1.850 ,7.64 ,26.8,4721,604,2855
Nn1c(=O)n(N[N+](=O)[O-])c2nc3c(nc21)[nH]c(=O)n3[N+](=O)[O-],C6H4N10O6,312.2,39.4 ,234.1 ,1.847 ,7.64 ,26.8,4201,645,2713
Nn1c(=O)[nH]c2c(=O)n(C=N[N+](=O)[O-])c(=O)n([N+](=O)[O-])c21,C6H4N8O7,300.1,-204.9 ,228.1 ,1.846 ,7.64 ,26.8,4212,634,2672
O=[N+]([O-])c1nc2nc3ocnc3c([N+](=O)[O-])n2n1,C6HN7O5,251.1,256.3 ,249.9 ,1.845 ,7.64 ,26.8,5030,557,2804
N=c1c2nc([N+](=O)[O-])[nH]c2n([N+](=O)[O-])c(=O)n1N,C5H4N8O5,256.1,12.9 ,262.4 ,1.837 ,7.64 ,26.7,4248,655,2786
Nn1c(=O)n(N[N+](=O)[O-])c2[nH]c(=O)n(C=N[N+](=O)[O-])c(=O)c21,C6H5N9O7,315.2,-182.8 ,201.9 ,1.834 ,7.64 ,26.7,4153,657,2730
Nc1nc2c(nc([N+](=O)[O-])n3c([N+](=O)[O-])c(C=N[N+](=O)[O-])nc23)[nH]1,C8H4N10O6,336.2,402.9 ,247.7 ,1.832 ,7.64 ,26.7,4983,599,2988
O=c1[nH]nc(C=N[N+](=O)[O-])c2c([N+](=O)[O-])n[nH]c12,C6H3N7O5,253.1,194.8 ,228.1 ,1.832 ,7.64 ,26.7,4927,597,2943
NN=c1c2nc(C=N[N+](=O)[O-])n([N+](=O)[O-])c2[nH]c(=O)n1N,C6H6N10O5,298.2,181.5 ,246.4 ,1.829 ,7.64 ,26.6,4368,676,2953
N=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2[nH]c(=O)n1N,C5H4N8O5,256.1,33.8 ,253.3 ,1.825 ,7.64 ,26.6,4330,655,2840
O=c1[nH]n(C=N[N+](=O)[O-])c(=O)c2c1cnn2[N+](=O)[O-],C6H3N7O6,269.1,27.9 ,202.4 ,1.822 ,7.64 ,26.6,4746,603,2863
NN=C1N=C2NC([N+](=O)[O-])=C(N)N2C1=N[N+](=O)[O-],C5H5N9O4,255.2,244.2 ,225.5 ,1.806 ,7.64 ,26.4,4489,680,3054
Nc1nc2c(N[N+](=O)[O-])nc(N)n2c(=O)n1N[N+](=O)[O-],C5H6N10O5,286.2,74.3 ,200.3 ,1.805 ,7.64 ,26.4,4177,704,2942
Nc1nc2c3nc(N)n(C=N[N+](=O)[O-])c3nc([N+](=O)[O-])n2c1N[N+](=O)[O-],C8H6N12O6,366.2,457.0 ,212.0 ,1.805 ,7.64 ,26.4,4846,642,3112
Nc1nc2c3nc(C=N[N+](=O)[O-])n(N[N+](=O)[O-])c3nc([N+](=O)[O-])n2c1N,C8H6N12O6,366.2,458.0 ,218.1 ,1.804 ,7.64 ,26.4,4849,642,3114
N=c1c2c(ncn2N[N+](=O)[O-])[nH]c(=O)n1N[N+](=O)[O-],C5H5N9O5,271.2,77.1 ,199.7 ,1.801 ,7.64 ,26.4,4334,681,2954
N=c1c2c(ncn2N[N+](=O)[O-])[nH]c(=O)n1N[N+](=O)[O-],C5H5N9O5,271.2,77.1 ,199.7 ,1.801 ,7.64 ,26.4,4334,681,2954
Nc1cc(=O)n([N+](=O)[O-])c2nnc(C=N[N+](=O)[O-])n12,C6H4N8O5,268.1,248.5 ,199.9 ,1.799 ,7.64 ,26.4,4937,626,3093
Nc1nc2c([nH]1)c(=O)n([N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],C6H4N8O6,284.1,-84.2 ,204.7 ,1.877 ,7.64 ,27,4181,630,2636
Nc1nc2c(=O)n([N+](=O)[O-])c(=O)[nH]c2n1C=N[N+](=O)[O-],C6H4N8O6,284.1,-81.0 ,212.0 ,1.875 ,7.64 ,27,4192,630,2644
O=c1[nH]n(C=N[N+](=O)[O-])c(=O)c2c([N+](=O)[O-])n[nH]c12,C6H3N7O6,269.1,-45.6 ,215.5 ,1.860 ,7.64 ,26.9,4473,603,2699
O=c1c2nc3cc([N+](=O)[O-])n4nncc4c3nc2n(N[N+](=O)[O-])c(=O)n1N[N+](=O)[O-],C10H4N12O8,420.2,377.0 ,212.5 ,1.851 ,7.64 ,26.8,4861,586,2850
O=c1n([N+](=O)[O-])c(=O)n2c3cnn(C=N[N+](=O)[O-])c3ncn12,C7H3N9O6,309.2,241.2 ,206.5 ,1.831 ,7.64 ,26.7,4821,597,2882
Nc1nc2c(c(C=N[N+](=O)[O-])nn2C=N[N+](=O)[O-])n2c(=O)n(C=N[N+](=O)[O-])c(=O)n12,C9H5N13O8,423.2,272.3 ,232.4 ,1.825 ,7.64 ,26.6,4633,621,2881
Nn1c(=O)n([N+](=O)[O-])c(=O)c2nc3cc(N[N+](=O)[O-])n4nnc(N[N+](=O)[O-])c4c3nc21,C10H5N13O8,435.2,465.8 ,235.5 ,1.819 ,7.64 ,26.5,4950,604,2993
Nn1nc([N+](=O)[O-])c2c(C=N[N+](=O)[O-])n[nH]c(=O)c21,C6H4N8O5,268.1,219.0 ,243.8 ,1.814 ,7.64 ,26.5,4827,626,3024
O=c1[nH]ncc2c(C=N[N+](=O)[O-])c([N+](=O)[O-])nn12,C6H3N7O5,253.1,244.2 ,208.6 ,1.806 ,7.64 ,26.4,5123,597,3060
Nc1nc2nc(N)n(N[N+](=O)[O-])c2c(=O)n1[N+](=O)[O-],C5H5N9O5,271.2,75.2 ,210.8 ,1.802 ,7.64 ,26.4,4327,681,2949
O=[N+]([O-])Nc1nc2cnc([N+](=O)[O-])[nH]c-2n1,C5H3N7O4,225.1,258.3 ,202.8 ,1.801 ,7.64 ,26.4,4948,621,3077
N=c1c2c(nc(N[N+](=O)[O-])n1N)[nH]c(=O)n2[N+](=O)[O-],C5H5N9O5,271.2,78.2 ,215.9 ,1.800 ,7.64 ,26.4,4338,681,2956
Nn1c(=O)c2c(c(N[N+](=O)[O-])nn2C=N[N+](=O)[O-])n(N)c1=O,C6H6N10O6,314.2,65.3 ,210.0 ,1.799 ,7.64 ,26.4,4402,677,2982
Nc1n[nH]c(=O)n2c(C=N[N+](=O)[O-])c([N+](=O)[O-])nc12,C6H4N8O5,268.1,147.2 ,226.3 ,1.850 ,7.64 ,26.8,4559,626,2856
Nc1c(N[N+](=O)[O-])n2nnc([N+](=O)[O-])c2c2nc3c(nc12)c(=O)n(N)c(=O)n3[N+](=O)[O-],C10H5N13O8,435.2,370.7 ,267.8 ,1.848 ,7.64 ,26.8,4731,604,2861
Nn1c(=O)c2c(n(N)c1=O)n([N+](=O)[O-])c(=O)n2C=N[N+](=O)[O-],C6H5N9O7,315.2,-190.3 ,247.7 ,1.837 ,7.64 ,26.7,4130,657,2715
Nn1c(=O)n([N+](=O)[O-])c(=O)c2nc3c([N+](=O)[O-])cn4nnc(N[N+](=O)[O-])c4c3nc21,C10H4N12O8,420.2,432.1 ,252.3 ,1.833 ,7.64 ,26.7,4992,586,2927
Nc1nn(C=N[N+](=O)[O-])c2c(=O)n([N+](=O)[O-])n(N)c(=O)c12,C6H5N9O6,299.2,-2.8 ,222.3 ,1.832 ,7.64 ,26.7,4319,655,2830
Nc1nc(N)n2c(=O)n([N+](=O)[O-])c(N[N+](=O)[O-])nc12,C5H5N9O5,271.2,36.5 ,202.4 ,1.823 ,7.64 ,26.6,4185,681,2852
N=c1[nH]c(N)nc2c1nc(N[N+](=O)[O-])n2[N+](=O)[O-],C5H5N9O4,255.2,219.3 ,221.2 ,1.820 ,7.64 ,26.5,4392,680,2988
O=c1[nH]nc([N+](=O)[O-])c2cc(C=N[N+](=O)[O-])nn12,C6H3N7O5,253.1,216.7 ,224.4 ,1.820 ,7.64 ,26.5,5014,597,2995
Nc1nc2c3nc([N+](=O)[O-])n(N)c3nc([N+](=O)[O-])n2c1C=N[N+](=O)[O-],C8H5N11O6,351.2,455.5 ,271.2 ,1.807 ,7.64 ,26.4,4984,621,3099
Nc1nc2c(ncn2[N+](=O)[O-])c(=N[N+](=O)[O-])[nH]1,C5H4N8O4,240.1,244.8 ,209.4 ,1.806 ,7.64 ,26.4,4678,652,3054
Nc1c2cnn([N+](=O)[O-])c2nc2c1c([N+](=O)[O-])nn2C=N[N+](=O)[O-],C8H4N10O6,336.2,488.3 ,246.1 ,1.799 ,7.64 ,26.4,5236,599,3140
O=c1[nH]c2nc3c(nc2c(=O)n1C=N[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])n1nnc(C=N[N+](=O)[O-])c31,C12H3N13O10,489.2,372.3 ,216.0 ,1.863 ,7.64 ,26.9,4924,560,2761
O=c1[nH]n(C=N[N+](=O)[O-])c(=O)c2[nH]nc([N+](=O)[O-])c12,C6H3N7O6,269.1,-44.7 ,217.0 ,1.859 ,7.64 ,26.9,4476,603,2701
Nn1c(=O)n(C=N[N+](=O)[O-])c2c(=O)n(N[N+](=O)[O-])c(=O)[nH]c21,C6H5N9O7,315.2,-189.3 ,206.4 ,1.836 ,7.64 ,26.7,4133,657,2717
Nn1c(=O)n(N[N+](=O)[O-])c(=O)c2c(C=N[N+](=O)[O-])n[nH]c21,C6H5N9O6,299.2,3.8 ,211.9 ,1.828 ,7.64 ,26.6,4341,655,2844
O=c1c2[nH]nc([N+](=O)[O-])c2cnn1C=N[N+](=O)[O-],C6H3N7O5,253.1,217.7 ,221.4 ,1.819 ,7.64 ,26.5,5018,597,2997
Nc1nc2c(c([N+](=O)[O-])c([N+](=O)[O-])n2N)c2nnnn12,C6H4N10O4,280.2,457.2 ,300.8 ,1.818 ,7.64 ,26.5,4767,639,3049
Nc1nn(C=N[N+](=O)[O-])c2c(=O)n(N)nc([N+](=O)[O-])c12,C6H5N9O5,283.2,205.7 ,230.5 ,1.817 ,7.64 ,26.5,4604,652,3005
Nc1nc(N[N+](=O)[O-])c2ncn([N+](=O)[O-])c(=O)n12,C5H4N8O5,256.1,73.9 ,203.8 ,1.801 ,7.64 ,26.4,4487,655,2943
Nc1nc([N+](=O)[O-])n2c(N[N+](=O)[O-])c(N)nc2n1,C5H5N9O4,255.2,259.4 ,220.7 ,1.797 ,7.64 ,26.3,4549,680,3095
Nc1nc2c(N[N+](=O)[O-])c(N)nc([N+](=O)[O-])n2n1,C5H5N9O4,255.2,261.2 ,219.5 ,1.796 ,7.64 ,26.3,4556,680,3100
O=c1[nH]c(=O)n(C=N[N+](=O)[O-])c2nc3c(nc12)c([N+](=O)[O-])c([N+](=O)[O-])n1nnc(C=N[N+](=O)[O-])c31,C12H3N13O10,489.2,387.8 ,212.4 ,1.858 ,7.64 ,26.9,4956,560,2779
Nn1c(=O)n(N[N+](=O)[O-])c2nc3[nH]c(=O)n([N+](=O)[O-])c3nc21,C6H4N10O6,312.2,30.1 ,236.9 ,1.850 ,7.64 ,26.8,4172,645,2694
Nn1nc([N+](=O)[O-])nc2c(=O)n(C=N[N+](=O)[O-])c(=O)nc1-2,C6H3N9O6,297.1,46.4 ,202.9 ,1.844 ,7.64 ,26.7,4360,621,2712
Nc1cn2nnc(N[N+](=O)[O-])c2c2nc3c(nc12)c(=O)n(N[N+](=O)[O-])c(=O)n3[N+](=O)[O-],C10H5N13O8,435.2,414.5 ,218.9 ,1.834 ,7.64 ,26.7,4832,604,2922
Nn1c(=O)c2nc3c(C=N[N+](=O)[O-])c([N+](=O)[O-])n4nnc(C=N[N+](=O)[O-])c4c3nc2n([N+](=O)[O-])c1=O,C12H4N14O10,504.3,471.3 ,243.1 ,1.831 ,7.64 ,26.6,5019,577,2898
Nc1nc2nc(N)c([N+](=O)[O-])c([N+](=O)[O-])n2n1,C5H4N8O4,240.1,206.7 ,289.9 ,1.827 ,7.64 ,26.6,4519,652,2950
Nc1nc2nc([N+](=O)[O-])n(N)c2c(=O)n1[N+](=O)[O-],C5H4N8O5,256.1,56.6 ,243.1 ,1.810 ,7.64 ,26.5,4419,655,2898
Nc1nc2c(nc([N+](=O)[O-])n2N)c(=N[N+](=O)[O-])[nH]1,C5H5N9O4,255.2,235.6 ,235.5 ,1.810 ,7.64 ,26.4,4456,680,3031
Nc1ncn2c([N+](=O)[O-])c([N+](=O)[O-])nc2n1,C5H3N7O4,225.1,246.0 ,280.9 ,1.807 ,7.64 ,26.4,4894,621,3043
Nc1nc([N+](=O)[O-])n([N+](=O)[O-])c2ncnc1-2,C5H3N7O4,225.1,249.7 ,233.3 ,1.805 ,7.64 ,26.4,4910,621,3053
Nn1nc([N+](=O)[O-])c2c(=O)n3cc(C=N[N+](=O)[O-])n([N+](=O)[O-])c3nc21,C8H4N10O7,352.2,289.9 ,239.2 ,1.803 ,7.64 ,26.4,4994,604,3017
N=c1[nH]c(=O)n(N)c2nc(N[N+](=O)[O-])n(N[N+](=O)[O-])c12,C5H6N10O5,286.2,81.3 ,208.0 ,1.800 ,7.64 ,26.4,4201,704,2959
N=c1[nH]c(=O)n(N)c2nc(N[N+](=O)[O-])n(N[N+](=O)[O-])c12,C5H6N10O5,286.2,81.3 ,208.0 ,1.800 ,7.64 ,26.4,4201,704,2959
Nc1c([N+](=O)[O-])c2c(nc(N)n3nnnc23)n1N[N+](=O)[O-],C6H5N11O4,295.2,491.5 ,258.3 ,1.800 ,7.64 ,26.4,4718,664,3133
Nc1nc2c(nc(N[N+](=O)[O-])n2N)c2nc(C=N[N+](=O)[O-])c([N+](=O)[O-])n12,C8H6N12O6,366.2,471.5 ,214.8 ,1.798 ,7.64 ,26.3,4886,642,3138
Nn1c(=O)n(C=N[N+](=O)[O-])c(=O)c2c1[nH]c(=O)n2[N+](=O)[O-],C6H4N8O7,300.1,-222.7 ,232.7 ,1.854 ,7.63 ,26.8,4152,634,2634
Nn1c(=O)c2nc3c([N+](=O)[O-])cn4nnc(N[N+](=O)[O-])c4c3nc2n([N+](=O)[O-])c1=O,C10H4N12O8,420.2,438.2 ,257.1 ,1.830 ,7.63 ,26.6,5007,586,2936
