Ro,smiles
1.8116,Nc1nc(N)c(nc1[N+](=O)[O-])[N+](=O)[O-]
1.369,[O-][N+](=O)c1ccc2c(c1)c(nn2C)c1ccccc1
1.4654,[O-][N+](=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)[N+](=O)[O-]
1.5555,[O-][N+](=O)c1cccnc1N
1.2571,CN(/N=C/C(=N\N1CCCC1)/c1ccc(cc1)[N+](=O)[O-])C
1.7934,Oc1cc(O)c(cc1[N+](=O)[O-])[N+](=O)[O-]
1.2995,[O-][N+](=O)c1ccc(cc1)N/N=C/C=C/c1ccccc1
1.4794,CONC(=O)Nc1ccc(cc1)[N+](=O)[O-]
1.5604,[O-][N+](=O)C(=c1nc([nH]c(=O)[nH]1)N1CCCCC1)[N+](=O)[O-]
1.4519,C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
1.5133,[O-][N+](=O)/C=C\N
1.3673,COc1cccc(c1)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
1.39,OC(=O)/C=C/c1ccc(c(c1)[N+](=O)[O-])N(C)C
1.7588,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])n1cnnn1
1.4628,CCOC(=O)c1ccccc1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
1.6207,[O-][N+](=O)c1cc2n3c(COc2c(c1)[N+](=O)[O-])nn(c3=O)/C(=C(/O)\C)/C(=O)C
1.2727,CCOc1cc([N+](=O)[O-])c2c(c1)C(=CC(N2)(C)C)C
1.4999,[O-][N+](=O)c1ccc(c(c1)c1nc2c([nH]1)cccc2)O
1.3184,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccc2c(c1)OCO2
1.6034,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-]
1.37,[O-][N+](=O)c1ccc(cc1)CN1[C@@H]2[C@H]1COCOC2
1.3393,[O-][N+](=O)c1cccc2c1C=C/C/2=C\N1CCCC1
1.498,O=C(c1ccccc1)/C=c/1\[nH]c2cc(ccc2oc1=O)[N+](=O)[O-]
1.3283,CN(C(=O)c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
1.7395,Nc1cc(N)c(cc1[N+](=O)[O-])[N+](=O)[O-]
1.3328,O[C@@H]1CCCC[C@H]1Nc1ccc(cc1)[N+](=O)[O-]
1.5079,O=C(Nc1ccc(cc1)O)Nc1ccc(cc1)[N+](=O)[O-]
1.4892,CCn1c2ncc(c(=O)n2c2c1cccc2)[N+](=O)[O-]
1.355,[O-][N+](=O)[N-][N+](C)(C)C
1.3421,N#C[C@H](c1ccccc1[N+](=O)[O-])CC1=CCCCC1=O
1.4436,[O-][N+](=O)c1ccc(c2c1non2)N1CCCCCC1
1.389,[O-][N+](=O)c1ccc(nc1C)/N=N/c1ccccc1
1.4987,O=C(Cn1cccc(c1=O)[N+](=O)[O-])Nc1ccccc1
1.5067,COc1cc(=O)c2c([nH]c1=O)ccc(c2)[N+](=O)[O-]
1.4609,[O-][N+](=O)C1(CCCCCCc2c1cno2)[N+](=O)[O-]
1.7219,CC(C([N+](=O)[O-])([N+](=O)[O-])C)([N+](=O)[O-])[N+](=O)[O-]
1.4605,CCOC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O
1.6005,Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
1.7998,[O-][N+](=O)Cn1nnc(n1)[N+](=O)[O-]
1.5642,O/N=C/c1ccc(c(c1)[N+](=O)[O-])O
1.3372,COc1ccc(cc1)N(c1ccc(cc1)[N+](=O)[O-])C(=O)C
1.292,[O-][N+](=O)c1ccc(cc1)/C=N/N(c1ccccc1)c1ccccc1
