smiles,Td
O=[N+](OCC1=NN=C(CO[N+]([O-])=O)N1/N=N/N2C(CO[N+]([O-])=O)=NN=C2CO[N+]([O-])=O)[O-],146
O=[N+](C1=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(N[N+]([O-])=O)=N1)[O-],121
Nc1nc([N+](=O)[O-])nn1-c1nn[nH]n1,246
[N-]=[N+]=NCCN1N=NN/C1=N\[N+]([O-])=O,139.9
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NON=C1NC2=NN=C(NC3=NON=C3NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=N2)[O-],204
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN=C2C3=NN=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N3C4=NON=C4N21)[O-],128
O=[N+](NC(N=N1)=NN2C1=NN=C2)[O-],148
NN1C([N+]([O-])=O)=NC([N+]([O-])=O)=N1,165
[NH2+]=C(N)C([N+]([O-])=O)([N+]([O-])=O)C1=NN=N[N-]1,119.85
O=[N+](NC(N=N1)=NN2C1=NN=C2N=NC3=NN=C(N=N4)N3N=C4N[N+]([O-])=O)[O-],170
NN1C(C2=NC([N+]([O-])=O)=C([N+]([O-])=O)N2N)=NC([N+]([O-])=O)=C1[N+]([O-])=O,216
O=[N+](C1=C([N+]([O-])=O)C=NN1CN2N=CC([N+]([O-])=O)=C2[N+]([O-])=O)[O-],319
O=[N+](OCC1=NON=C1/N=N\C2=NON=C2CO[N+]([O-])=O)[O-],184
CCN([N+]([O-])=O)CN([N+]([O-])=O)CC,216.2
O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],228
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)COC(N)=O)[O-],146
O=[N+](C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2[N+]([O-])=O)[O-],150
O=[N+](C1=CN(CN([N+]([O-])=O)CN2C=C([N+]([O-])=O)C=N2)N=C1)[O-],262
NN1C(C#N)=C([N+]([O-])=O)C([N+]([O-])=O)=N1,217
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1C=C([N+]([O-])=O)C=N1)[O-],132
CC1(O[N+]([O-])=O)COC1,141
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN(CN2C=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N2)C=N1)[O-],147
NC(N1N[N+]([O-])=O)=NN=C1C2=NN=C(N[N+]([O-])=O)N2,136
[H]C([N+]([O-])=O)([N+]([O-])=O)C1=NC(/N=N/C2=NNC(C([H])([N+]([O-])=O)[N+]([O-])=O)=N2)=NN1,78
