smiles,Td
O=[N+](OCC(O[N+]([O-])=O)C(O[N+]([O-])=O)C(O[N+]([O-])=O)C(O[N+]([O-])=O)CO[N+]([O-])=O)[O-],169.4
O=[N+](C1=NN(COCN2N=C(C=C2[N+]([O-])=O)[N+]([O-])=O)C([N+]([O-])=O)=C1)[O-],299
NC(N/N=C(NC(N)=O)/C([N+]([O-])=O)[N+]([O-])=O)=O,129
CN(CC(N[N+]([O-])=O)=O)[N+]([O-])=O,113
NC1=NC(N)=NC2=C([N+]([O-])=O)C(N[N+]([O-])=O)=NN21,248
NC(NC1=NON=C1[N+]([O-])=O)=O,182
NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,105.2
NC1=C([N+]([O-])=O)N(CC2=NN=NN2)N=C1[N+]([O-])=O,208
O=[N+](OC[C@@H]1[C@@H](CO[N+]([O-])=O)[C@@H](CO[N+]([O-])=O)[C@@H]1CO[N+]([O-])=O)[O-],198.4
Nc1nc([N+](=O)[O-])nn1-c1c([N+](=O)[O-])n[nH]c1[N+](=O)[O-],270
NC1=NN=NN1CCN(C(N)=N2)N=C2[N+]([O-])=O,277
O=[N+]([O-])/N=c1\[nH]nc(-c2n[nH]nc2[N+](=O)[O-])[nH]1,168.45
[O-][N+]1=NC(N2C(C([N+]([O-])=O)=CN2)=N1)=O,224
O=[N+](C(COC1=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1)([N+]([O-])=O)[N+]([O-])=O)[O-],168.45
O=[N+](C1=C(NN=C1[N+]([O-])=O)C2=NC(C3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3)=NN2)[O-],254
OC1C(O)N/C(N1)=C([N+]([O-])=O)/[N+]([O-])=O,175
O=[N+](CN1C([N+]([O-])=O)=C([N+]([O-])=O)N=C1)[O-],156
O=[N+](C1=C2C(N=NN2)=CC([N+]([O-])=O)=C1)[O-],291
O=[N+](NC1=NC(CN2C(N[N+]([O-])=O)=NN=N2)=NN1)[O-],159
O=[N+](NC1=NNC(C2=NON=C2N[N+]([O-])=O)=N1)[O-],128
NC(N1C(N=N2)=NC([N+]([O-])=O)=N1)=C2[N+]([O-])=O,272
N/C(NN=C)=N/[N+]([O-])=O,170
O=[N+](OCN1N=C(N=C1C2=NC([N+]([O-])=O)=NN2CO[N+]([O-])=O)[N+]([O-])=O)[O-],176
NC1=[NH+]N=C(O1)C2=NON=C2[N-][N+]([O-])=O,132
CN1C([N+]([O-])=O)=C([N+]([O-])=O)N=C1,240
[N-]=c1[nH]nc([C+]([N+](=O)[O-])[N+](=O)[O-])o1,138
NC1=NO/C(N1)=N/[N+]([O-])=O,168
O=[N+]([O-])c1cc([N+](=O)[O-])c(-n2cncn2)c([N+](=O)[O-])c1-n1cncn1,261
O=[N+](C1=NN(/N=N/N2N=C([N+]([O-])=O)C=C2[N+]([O-])=O)C([N+]([O-])=O)=C1)[O-],202.6
O=[N+]([O-])c1cc(-n2cnnn2)nn1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],132
O=[N+](C1=C(C2=NC(C3=NOC(C4=C([N+]([O-])=O)C([N+]([O-])=O)=NN4)=N3)=NO2)NN=C1[N+]([O-])=O)[O-],272
CC1=NC(C2=NON=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,200
O=[N+]([O-])C(=C1N[C@@H](O)[C@H](O)N1)[N+](=O)[O-],184.81
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN([N+]([O-])=O)C=C1)[O-],113
O=[N+](OCC1=C(CO[N+]([O-])=O)N=NN1CC(O[N+]([O-])=O)CN2C(CO[N+]([O-])=O)=C(CO[N+]([O-])=O)N=N2)[O-],141
OC(CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,176
O=C(C(O1)=NN=C1C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(O2)=NN=C2C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,108
O=[N+](N1CN=C2N(CN([N+]([O-])=O)CC2([N+]([O-])=O)[N+]([O-])=O)C1)[O-],176
NC1=NC(N)=C([N+]([O-])=O)N=N1,225
O=[N+]([O-])Nc1nnc2nnc(/N=N/c3nnc4nnc(N[N+](=O)[O-])nn34)n2n1,170
CN([N+]([O-])=O)CN1N=C([N+]([O-])=O)N=C1[N+]([O-])=O,165
O=C1N=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N1,167.3
NC(N=N1)=NN2C1=NN=C2[N+]([O-])=O,213
N/C(NNC(C)=O)=N\[N+]([O-])=O,189
N/C(N/N=C/C1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1[N+]([O-])=O)=N\[N+]([O-])=O,182
O=[N+](C1=NNC(C2=NN/C(N2)=N\[N+]([O-])=O)=N1)[O-],150
O=[N+](NC1=NC(/N=N/C2=NOC(N[N+]([O-])=O)=N2)=NO1)[O-],140
NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C([N+]([O-])=O)=C2N,256
NC1=NN=NN1CCN(C=C2[N+]([O-])=O)N=C2[N+]([O-])=O,232
[N-]=[N+]=NC1=NC(N([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(N([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1,145.81
[H][C@]12CCCC[C@@]1([H])N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N2[N+]([O-])=O,113
O=[N+](NC1=NN=C(N1)C2=NNC(C3=NN=C(N[N+]([O-])=O)N3)=C2)[O-],142
O=[N+](OC[C@@H]1[C@H](CO[N+]([O-])=O)[C@H](CO[N+]([O-])=O)[C@@H]1CO[N+]([O-])=O)[O-],194
CN1N=NN=C1NCN([N+]([O-])=O)C,191.73
O=[N+]([O-])N1C(O)=NC2C1N=C(O)N2[N+](=O)[O-],130
CN([N+]([O-])=O)CN1C([N+]([O-])=O)=NN(CN(C)[N+]([O-])=O)C1=O,211
OCCN1N=NN/C1=N\[N+]([O-])=O,138
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC=C1)[O-],104
O=[N+](C1=CC=C(N2N=NN=C2)C=C1)[O-],194
O=[N+](C1=C(C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)C=CC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)[O-],359.2
NN1C(CN2N=C([N+]([O-])=O)C(N)=C2[N+]([O-])=O)=NN=C1CN3N=C([N+]([O-])=O)C(N)=C3[N+]([O-])=O,287
O=[N+](C1=C(N2N=C([N+]([O-])=O)C=N2)C([N+]([O-])=O)=C(C)C([N+]([O-])=O)=C1)[O-],297
[N-]=[N+]=NC(N=N1)=NN2C1=NN=C2N[N+]([O-])=O,149
Nc1c(-n2cncn2)c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],307
[N-]=[N+]=Nc1c(-n2cncn2)c(N=[N+]=[N-])c([N+](=O)[O-])c(N=[N+]=[N-])c1[N+](=O)[O-],132
O=[N+](C1=NN2C(NC3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3CC2)=C1[N+]([O-])=O)[O-],307
O=[N+]([O-])c1ncn(C([N+](=O)[O-])[N+](=O)[O-])n1,130.5
O=[N+](NC1=NON=C1C2=NN=C(N=NC3=NN=C(C4=NON=C4N[N+]([O-])=O)O3)O2)[O-],248
[O-][N+]1=C(C2=NON=C2N([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(C3=NON=C3N([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,108
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NN=NN1OCCON2N=NN=C2NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[O-],147
O=[N+]([N-]N1C=N[N+](CN([N+]([O-])=O)C[N+]2=CN(C=N2)[N-][N+]([O-])=O)=C1)[O-],105
O=[N+]([O-])C(=C1N[C@@H]2CCCC[C@H]2N1)[N+](=O)[O-],235.36
N=c1nc2[nH]nc([N+](=O)[O-])n2c(=N)[nH]1,315
O=[N+](C1=CNN=C1C2=NOC(C3=NNC=C3[N+]([O-])=O)=N2)[O-],314
NC1=NC(N)=C([N+]([O-])=O)N=[N+]1[O-],196
NC1=C([N+]([O-])=O)N(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C1[N+]([O-])=O,116
O=[N+](C1=CN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C1N2C=NN=N2)[O-],127
O=c1[nH]c(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])no1,112
CN(CC(O)=O)[N+]([O-])=O,153
NC1=NC(C2=NNC=C2[N+]([O-])=O)=NN1,281
O=[N+](C1=NNC(C2=NC([N+]([O-])=O)=NN2)=N1)[O-],251
O=[N+](C(CNC1=NON=C1C2=NOC(C3=NC(C4=NON=C4NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO3)=N2)([N+]([O-])=O)[N+]([O-])=O)[O-],187.5
NC(O1)=NN=C1C2=NON=C2[N+]([O-])=O,155
N=C(NCCC)N[N+]([O-])=O,253.1
O=[N+]([O-])c1cc([N+](=O)[O-])c(N=c2[nH]c(=Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])[nH]c(=Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])[nH]2)c([N+](=O)[O-])c1,295
O=[N+](C1=C(N[N+]([O-])=O)C([N+]([O-])=O)=NN1CCN2N=C([N+]([O-])=O)C(N[N+]([O-])=O)=C2[N+]([O-])=O)[O-],80
[O-][N+](ON=C1C2CC2)=C1[N+]([O-])=O,210.83
O=[N+]([O-])Nc1nnc(-c2nc(-c3noc(-c4nnc(N[N+](=O)[O-])o4)n3)no2)o1,215
O=C(C1=CC=NC=C1)NNCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,112.5
N#CC1=NNC(N[N+]([O-])=O)=N1,130
O=[N+](C1=NON=C1C2=NOC(C3=NC(C4=NON=C4[N+]([O-])=O)=NO3)=N2)[O-],265
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,241
O=[N+](OC[C@@H]1[C@@H](CO[N+]([O-])=O)[C@H](CO[N+]([O-])=O)[C@H]1CO[N+]([O-])=O)[O-],199.4
N=C(C1=NON=C1N(CCN(C2=NON=C2C(NN)=N)[N+]([O-])=O)[N+]([O-])=O)NN,145
[O-]/[N+](C(C)(C)[N+]([O-])=O)=N\[N+]([O-])=O,102.7
O=[N+](C([N+]([O-])=O)C1=NC(/N=N/C2=NOC(C([N+]([O-])=O)[N+]([O-])=O)=N2)=NO1)[O-],123
NC1=C([N+]([O-])=O)C2=NN=C([N+]([O-])=O)N2N=C1N=[N+]=[N-],216.8
[O-]C1=N[N+](C2=CC=C([N+]([O-])=O)C=C2)=NO1,236
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1N=C([N+]([O-])=O)N=C1)[O-],160
O=[N+](NC1=NC(CC2=NOC(N[N+]([O-])=O)=N2)=NO1)[O-],152
[O-][N+]1=NC2=NN=C(N[N+]([O-])=O)N2N=C1N[N+]([O-])=O,114
O=[N+](C1=CN(CCN2N=NN/C2=N\[N+]([O-])=O)N=C1)[O-],136
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC([N+]([O-])=O)=N1)[O-],135
[N-]=[N+]=NC(=O)N[N+](=O)[O-],83
O=[N+](C1=NN(C)C(N=[N+]=[N-])=N1)[O-],161
[N-]=[N+]=NC1=CC=CC([N+]([O-])=O)=C1,164
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN(C([N+]([O-])=O)[N+]([O-])=O)N=N1)[O-],70
[O-][N+]1=C(C2=NN=C(/N=N/C3=NN=C(O3)C4=[N+]([O-])ON=C4[N+]([O-])=O)O2)C([N+]([O-])=O)=NO1,193.9
O=C(C1)OCC(COC1=O)([N+]([O-])=O)[N+]([O-])=O,223
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC(C2=NOC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N2)=NO1)[O-],124
O=[N+]([O-])c1cc([N+](=O)[O-])c2n[n+]3[n-]c4c([N+](=O)[O-])cc([N+](=O)[O-])cc4n3c2c1,410
O=[N+](NC1=NC(C2=NOC(N[N+]([O-])=O)=N2)=NO1)[O-],137
NC(NO/1)=NC1=N/[N+]([O-])=O,150
NN1N=NC([N+]([O-])=O)=C1,175
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC(/N=N/C2=NNC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N2)=NN1)[O-],150
O=[N+](NCC(CN[N+]([O-])=O)(COCC(CN[N+]([O-])=O)(CN[N+]([O-])=O)CN[N+]([O-])=O)CN[N+]([O-])=O)[O-],183
NC(C([N+]([O-])=O)=NN1CCN2N=NN=C2N)=C1[N+]([O-])=O,257
O=C1NC2=C([N+]([O-])=O)C([N+]([O-])=O)=C([N+]([O-])=O)C([N+]([O-])=O)=C2N1,255
[O-][N+]1=C([N+]([O-])=O)C(/N=N\C2=NO[N+]([O-])=C2[N+]([O-])=O)=NO1,212.5
O=[N+](C(C([N+]([O-])=O)=NN1)=C1C2=NOC(C3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3)=N2)[O-],274
O=[N+](OCC1=NC(C2=NOC(CO[N+]([O-])=O)=N2)=NO1)[O-],183
NC1=NN(N)N=C1[N+]([O-])=O,212
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NCN([N+]([O-])=O)CN1[N+]([O-])=O)[O-],141
OCCCC([N+]([O-])=O)([N+]([O-])=O)CCCO,163.42
O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NN([N+]([O-])=O)C=C2[N+]([O-])=O)[O-],206
NC(O1)=NN=C1C2=[N+]([O-])ON=C2[N+]([O-])=O,150
NC1=NC(N[N+]([O-])=O)=NC2=NC(N[N+]([O-])=O)=NN21,189
CN([N+]([O-])=O)CN1N=NC2=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C21,179
ON1C(C2=NNC(N[N+]([O-])=O)=N2)=NN=N1,116
O=[N+](/N=C1N(C)N=NN/1)[O-],176
NN1C(C2=NC([N+]([O-])=O)=NN2N)=NC([N+]([O-])=O)=N1,271
O=[N+]([O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1nonc1/N=N\c1nonc1N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],159
O=[N+](C1=C(/C=N/NC2=NN=C(N/N=C/C3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3[N+]([O-])=O)N=N2)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],230
O=[N+](OCC1=CC(C2=NOC(CO[N+]([O-])=O)=C2)=NO1)[O-],154
O=[N+](C(C1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN1)[N+]([O-])=O)[O-],143
O=[N+](NC1=NON=C1NC2=NN=C(NC3=NON=C3N[N+]([O-])=O)N=N2)[O-],149
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC=CC=C1)[O-],114
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=CC=CC(C#N)=N1)[O-],106
O=[N+](/N=C1NC(/N=N/C(N/2)=NNC2=N/[N+]([O-])=O)=NN/1)[O-],209
O=[N+](C1=C2N(N=C1[N+]([O-])=O)CCN3C2=C(C([N+]([O-])=O)=N3)[N+]([O-])=O)[O-],261
NC(N=N1)=NN2C1=NN=C2N[N+]([O-])=O,241
O=[N+](C1=NN(CCN2N=NN/C2=N/[N+]([O-])=O)C(N[N+]([O-])=O)=N1)[O-],96
Nc1c(-n2cncn2)c(-n2cncn2)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],314
O=[N+](N1C2N([N+]([O-])=O)C3C1N(CN=[N+]=[N-])C4C(N3[N+]([O-])=O)N([N+]([O-])=O)C2N4[N+]([O-])=O)[O-],206
CN([N+]([O-])=O)CN1C([N+]([O-])=O)=C([N+]([O-])=O)N=C1,190
CN(C(C([N+]([O-])=O)=NN1N)=C1[N+]([O-])=O)[N+]([O-])=O,176
O=[N+](CN1N=C(C(C2=NN=NN2)=N1)C3=NN=NN3)[O-],281
O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NN=C(C3=NN=C(C4=NN([N+]([O-])=O)C=C4[N+]([O-])=O)O3)O2)[O-],186
N#CC1=NNC([N+]([O-])=O)=N1,196
O=[N+](C1=CN(N=N1)/N=N/N2C=C([N+]([O-])=O)N=N2)[O-],160
O=C(OCC#CCOC(N[N+]([O-])=O)=O)N[N+]([O-])=O,149
O=[N+](/C([N+]([O-])=O)=C1NCCCN/1)[O-],240.03
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1[N+]([O-])=O,193
O=C1NNC(N1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,235
Cc1c([N+](=O)[O-])c2cc(c1[N+](=O)[O-])Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])Oc1cc(c([N+](=O)[O-])c(C)c1[N+](=O)[O-])Oc1cc(c([N+](=O)[O-])cc1[N+](=O)[O-])O2,358.23
O=[N+](C1=CNN=C1C2=NN/C(N2)=N\[N+]([O-])=O)[O-],205
NC1=NC(C2=NC([N+]([O-])=O)=NN2)=NN1,255
O=[N+](/C([N+]([O-])=O)=C1NCN(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CN\1)[O-],137
O=[N+](C1=C(NC(N=C(NC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)C([N+]([O-])=O)=C3)=C3[N+]([O-])=O)C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)[O-],360
NC1=NC(C2=[N+]([O-])ON=C2[N+]([O-])=O)=NO1,176
NN1C(N=[N+]=[N-])=C([N+]([O-])=O)C([N+]([O-])=O)=N1,121
O=[N+](N(CN([N+]([O-])=O)C1=NON=C1C(O)=O)C2=NON=C2C(O)=O)[O-],115
O=[N+](C1=C(C2=C([N+]([O-])=O)NN=C2[N+]([O-])=O)NN=C1C3=C([N+]([O-])=O)NN=C3[N+]([O-])=O)[O-],300
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NN=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)O1)[O-],102
NN1N=NC([N+]([O-])=O)=N1,140
O=[N+](C1=NON=C1OC2=NON=C2OC3=NON=C3[N+]([O-])=O)[O-],156.4
O=[N+](C1=NN(C([N+]([O-])=O)=C1[N+]([O-])=O)CN2C([N+]([O-])=O)=C([N+]([O-])=O)C([N+]([O-])=O)=N2)[O-],205
O=C(NN=C1[N+]([O-])=O)[C-]1[N+]#N,151
O=C(C1[N+]([O-])=O)OCC(COC1=O)([N+]([O-])=O)[N+]([O-])=O,169
O=[N+](/N=C(N1)\NN=C1CC(N/2)=NNC2=N/[N+]([O-])=O)[O-],242
NC1=NC([N+]([O-])=O)=NN1NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,108
N/C(NN)=C([N+]([O-])=O)\C1=NN=NN1,237
O=[N+](C1=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C([N+]([O-])=O)=C1)[O-],143
Nc1c([N+](=O)[O-])c(-n2cncn2)c([N+](=O)[O-])c(-n2cncn2)c1[N+](=O)[O-],298.3
CC1=[N+]([O-])ON=C1[N+]([O-])=O,188
CN(Cn1nc([N+](=O)[O-])nc1N)[N+](=O)[O-],224
[O-]C1=N[N+](C2=CC=C([N+]([O-])=O)C=C2[N+]([O-])=O)=NO1,150.5
O=C(OCC(COC(N)=O)([N+]([O-])=O)[N+]([O-])=O)N,182
O=[N+](NC1=NON=C1/N=N/C2=NON=C2N[N+]([O-])=O)[O-],122
NC1=NNC(C2=C([N+]([O-])=O)C(C3=NC(N)=NN3)=NN2)=N1,353.6
NC1=NN=NN1CCN(N=N2)N=C2[N+]([O-])=O,234
O=C(N[N+]([O-])=O)NC1=NON=C1NC(N[N+]([O-])=O)=O,140
O=[N+](C(CNN1C=NN=C1)([N+]([O-])=O)[N+]([O-])=O)[O-],126
NC1=C([N+]([O-])=O)C2=NON=C2[N+]([O-])=N1,175
O=[N+](NC1=NC(C2=NNN=C2C3=NNC(N[N+]([O-])=O)=N3)=NN1)[O-],165
NN1C([N+]([O-])=O)=CC([N+]([O-])=O)=N1,225
NC([N+]([O-])=N1)=NN2C1=NN=C2N[N+]([O-])=O,182
N/C(N)=C([N+]([O-])=O)\C1=NN=NN1,275
O=[N+](/N=C1N(N[N+]([O-])=O)N=NN/1)[O-],110
NN1C=NC([N+]([O-])=O)=N1,306
NC1=NON=C1CC2=NC(N[N+]([O-])=O)=NN2,196.3
O=[N+](C1=NN([N+]([O-])=O)C2=C1N([N+]([O-])=O)N=C2[N+]([O-])=O)[O-],145
CC1=NC(C2=NON=C2N([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,172
NC(C([N+]([O-])=O)=N1)=C([N+]([O-])=O)N1CN2C([N+]([O-])=O)=C(N)C([N+]([O-])=O)=N2,310
NC1=NC([N+]([O-])=O)=NN1,227
[O-][N+](ON=C1[N+]([O-])=O)=C1/N=N/C2=[N+](ON=C2[N+]([O-])=O)[O-],116
O=[N+](C1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1CC2=NNC(CN3N=C([N+]([O-])=O)C([N+]([O-])=O)=C3[N+]([O-])=O)=N2)[O-],218
O=[N+](OCC1=NC(C2=NON=C2N[N+]([O-])=O)=NO1)[O-],200
O=[N+](NC1=C([N+]([O-])=O)C([N+]([O-])=O)=NN1)[O-],135
O=[N+]([O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1nonc1C1=NOC(c2nonc2N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])=NO1,119
[O-][N+]1=N[N+]([O-])=NC2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C21,204
[N-]=[N+]=Nc1c([N+](=O)[O-])ncn1N,144
CC(C([N+]([O-])=O)=CC([N+]([O-])=N[N+]([O-])=O)=C1)=C1[N+]([O-])=O,137
CN1C([N+]([O-])=O)=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1,153
NC1=C([N+]([O-])=O)C2=NON=C2N=N1,186
Cc1nonc1N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],138
O=[N+](C1=NNC=N1)[O-],217
NC1=C(N=NN2)C2=C(C=C1[N+]([O-])=O)[N+]([O-])=O,341
O=[N+](OC[C@@H]1[C@H](CO[N+]([O-])=O)[C@@H](CO[N+]([O-])=O)[C@@H]1CO[N+]([O-])=O)[O-],186.2
O=[N+](C1=NON=C1N=[N+]=[N-])[O-],135
CN([N+]([O-])=O)CN1C([N+]([O-])=O)=NNC1=O,151
O=[N+](OCC1=NC(C2=NON=C2/N=N\C3=NON=C3C4=NOC(CO[N+]([O-])=O)=N4)=NO1)[O-],120
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)CNC1=NN=NN1CCO)[O-],146
O=[N+](OC1(O[N+]([O-])=O)COC1)[O-],93
CN1N=NN=C1N([N+]([O-])=O)CN([N+]([O-])=O)C,132.5
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC=C1[N+]([O-])=O)[O-],154
CN1N=C([N+]([O-])=O)C(N=[N+]=[N-])=N1,181
CN1C([N+]([O-])=O)=C([N+]([O-])=O)N=C1C2=NC([N+]([O-])=O)=C([N+]([O-])=O)N2C,258
O=[N+](NCC(O[N+]([O-])=O)CN[N+]([O-])=O)[O-],168
NC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C(N2C3=NON=C3C4=NON=C4C5=NON=C25)=C1[N+]([O-])=O,328
O=[N+](C([N+]([O-])=O)C1=NON=C1/N=N/C2=NON=C2C([N+]([O-])=O)[N+]([O-])=O)[O-],140
O=[N+](C1=NOC(/N=C2NCN([N+]([O-])=O)CN/2)=N1)[O-],195
O=[N+](/N=C1NC(N/C(N2)=N/[N+]([O-])=O)C2N\1)[O-],184
O=[N+]([O-])C(=C1NN=NN1)[N+](=O)[O-],92
CN([N+]([O-])=O)CN([N+]([O-])=O)C1=NON=C1[N+]([O-])=O,126
Cn1c(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])noc1=O,119
[N-]=[N+]=Nc1nc(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,169.9
NC1=NC2=C([N+]([O-])=O)N=NN2N=C1N,256
[O-]/[N+](C/[N+]([O-])=N/[N+]([O-])=O)=N\C(C)(C)C,87
N=C(N)N[N+](=O)[O-],150
NC(NC(C([N+]([O-])=O)=NN1)=C1[N+]([O-])=O)=N,308
NC1=C([N+]([O-])=O)N(C2=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C2[N+]([O-])=O)N=C1[N+]([O-])=O,237.5
O=[N+](/N=C(N1)\NN=C1C(N/2)=NNC2=N/[N+]([O-])=O)[O-],194
[O-][N+]1=C(N[N+]([O-])=O)C(C2=NO[N+]([O-])=C2N[N+]([O-])=O)=NO1,73
O/N=C(N=[N+]=[N-])/C1=NNC(N[N+]([O-])=O)=N1,65
OC1=C(/C=N/O)C=C([N+]([O-])=O)C=C1,192
N/C(NC(N)=O)=C([N+]([O-])=O)\[N+]([O-])=O,209
O=C(NNCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)NNCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,118.11
CN1C([N+]([O-])=O)=C([N+]([O-])=O)C([N+]([O-])=O)=N1,196
O=[N+](C(C=C1[N+]([O-])=O)=NN1C2=NNC=N2)[O-],300
N=C(NN)C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2C(NN)=N,138
O=[N+](C1=NNC([N+]([O-])=O)=C1C2=NC(C3=NNC(C4=C([N+]([O-])=O)NN=C4[N+]([O-])=O)=N3)=NN2)[O-],372
N/C(N)=C([N+]([O-])=O)\C1=NC=NN1,267
NC1=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1,148.6
OC1=C([N+]([O-])=O)C(/C=C/C2=C([N+]([O-])=O)C(/C=C/C3=C([N+]([O-])=O)C(O)=C([N+]([O-])=O)C=C3[N+]([O-])=O)=C([N+]([O-])=O)C=C2[N+]([O-])=O)=C([N+]([O-])=O)C=C1[N+]([O-])=O,268.3
O=[N+](C1=NON=C1C2=NNC(C3=NC(C4=NON=C4[N+]([O-])=O)=NN3)=N2)[O-],298
O=[N+](C1=NN([N+]([O-])=O)C=C1)[O-],171
N/C(NO)=C([N+]([O-])=O)/[N+]([O-])=O,74.5
